songID,songName,artistId,popularity,track_href
6iJex7WFYeUNGRNr7s3Yew,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),3hcs9uc56yIGFCSy9leWe7,25,https://api.spotify.com/v1/tracks/6iJex7WFYeUNGRNr7s3Yew
6iJex7WFYeUNGRNr7s3Yew,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),59HbaJ5E8ud7FNLGqUN1KH,25,https://api.spotify.com/v1/tracks/6iJex7WFYeUNGRNr7s3Yew
6Xom58OOXk2SoU711L2IXO,Moscow Mule,4q3ewBCX7sLwd24euuV69X,92,https://api.spotify.com/v1/tracks/6Xom58OOXk2SoU711L2IXO
36DHxTW2xdr9GG15T9oK9L,EL MUNDO ES MÍO,4q3ewBCX7sLwd24euuV69X,66,https://api.spotify.com/v1/tracks/36DHxTW2xdr9GG15T9oK9L
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,3TVXtAsR1Inumwj472S9r4,91,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,1URnnhqYAYcrqrcwql10ft,91,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N
7uWIJXsugQIMaxcYXMxeZV,Rich Flex,3TVXtAsR1Inumwj472S9r4,72,https://api.spotify.com/v1/tracks/7uWIJXsugQIMaxcYXMxeZV
7uWIJXsugQIMaxcYXMxeZV,Rich Flex,1URnnhqYAYcrqrcwql10ft,72,https://api.spotify.com/v1/tracks/7uWIJXsugQIMaxcYXMxeZV
74BfFG9qR85KXxN49esFVA,Main Titles (You’ve Been Called Back to Top Gun),7Cf73Z3RZQTH4V69GSDxnv,67,https://api.spotify.com/v1/tracks/74BfFG9qR85KXxN49esFVA
74BfFG9qR85KXxN49esFVA,Main Titles (You’ve Been Called Back to Top Gun),1HY2Jd0NmPuamShAr6KMms,67,https://api.spotify.com/v1/tracks/74BfFG9qR85KXxN49esFVA
74BfFG9qR85KXxN49esFVA,Main Titles (You’ve Been Called Back to Top Gun),0YC192cP3KPCRWx8zr8MfZ,67,https://api.spotify.com/v1/tracks/74BfFG9qR85KXxN49esFVA
